Date,Open,High,Low,Close,Volume
1998-03-21,3304,3354,3247,3304,57910
1998-03-23,3367,3461,3348,3354,166660
1998-03-24,3417,3430,3361,3373,129360
1998-03-25,3405,3424,3273,3392,97460
1998-03-26,3273,3304,3228,3272,89510
1998-03-27,3210,3273,3159,3209,70490
1998-03-28,3210,3210,3147,3146,76250
1998-03-30,3147,3147,2958,2970,92120
1998-03-31,2964,3134,2958,3014,84720
1998-04-01,3033,3033,2832,2894,72010
1998-04-02,2895,2895,2769,2832,86770
1998-04-03,2832,2832,2492,2655,135610
1998-04-04,2656,2832,2517,2643,60040
1998-04-06,2706,2738,2643,2643,115540
1998-04-07,2675,2832,2675,2832,86740
1998-04-08,2832,2926,2706,2706,95030
1998-04-09,2889,2889,2678,2832,69010
1998-04-10,2819,2819,2731,2775,62920
1998-04-11,2744,2958,2744,2957,109130
1998-04-13,2926,2989,2845,2964,99050
1998-04-14,2901,2901,2706,2712,69400
1998-04-15,2744,2769,2650,2769,57800
1998-04-16,2587,2694,2580,2643,70960
1998-04-17,2643,2643,2536,2599,60530
1998-04-18,2599,2675,2524,2523,35310
1998-04-20,2524,2571,2486,2517,68140
1998-04-21,2517,2580,2391,2504,94790
1998-04-22,2517,2549,2423,2422,70540
1998-04-23,2360,2423,2203,2202,101280
1998-04-24,2203,2329,2140,2234,88390
1998-04-25,2266,2266,2203,2202,38360
1998-04-27,2203,2329,2203,2208,49970
1998-04-28,2209,2310,2171,2196,48590
1998-04-29,2322,2322,2228,2265,64490
1998-04-30,2297,2379,2297,2328,83150
1998-05-02,2259,2322,2209,2227,30240
1998-05-04,2140,2140,2014,2045,79660
1998-05-06,2033,2102,1919,1932,87570
1998-05-07,1982,2045,1938,2045,48360
1998-05-08,2014,2077,1951,2013,50420
1998-05-09,1894,2008,1894,1982,35660
1998-05-11,1938,1951,1857,1856,49110
1998-05-12,1705,1762,1668,1755,82730
1998-05-13,1787,1819,1643,1793,122360
1998-05-14,1819,1992,1731,1856,132660
1998-05-15,1913,1913,1794,1793,89740
1998-05-16,1699,1794,1699,1793,35160
1998-05-18,1888,1982,1841,1913,106890
1998-05-19,1951,1957,1850,1944,99330
1998-05-20,1951,2045,1825,1969,164200
1998-05-21,1951,1982,1828,1828,120470
1998-05-22,1768,1863,1762,1831,86300
1998-05-23,1888,1907,1844,1875,48320
1998-05-25,1831,1875,1699,1699,79850
1998-05-26,1643,1825,1617,1674,123820
1998-05-27,1674,1699,1605,1699,76100
1998-05-28,1693,1857,1636,1762,108560
1998-05-29,1743,1857,1743,1856,86090
1998-05-30,1857,1857,1762,1793,46670
1998-06-01,1857,1945,1794,1831,58350
1998-06-02,1762,1800,1737,1781,76950
1998-06-03,1825,1831,1762,1818,69730
1998-06-05,1819,1850,1731,1818,88020
1998-06-08,2014,2014,1825,1888,131400
1998-06-09,1894,1894,1794,1888,68190
1998-06-10,1888,1888,1794,1793,94030
1998-06-11,1794,1863,1762,1862,69260
1998-06-12,1768,1775,1668,1699,67100
1998-06-13,1643,1819,1643,1743,64440
1998-06-15,1699,1756,1611,1743,83490
1998-06-16,1580,1737,1580,1699,80620
1998-06-17,1731,1794,1668,1730,161950
1998-06-18,1825,1938,1768,1938,311100
1998-06-19,1882,2165,1850,2013,451290
1998-06-20,1888,2014,1838,1888,160420
1998-06-22,1901,2008,1857,1919,243300
1998-06-23,1825,2008,1825,1884,227970
1998-06-24,1888,2077,1857,2064,452000
1998-06-25,1901,1982,1888,1919,287810
1998-06-26,1951,1989,1888,1900,172230
1998-06-27,1901,2127,1857,2120,455190
1998-06-29,2140,2373,2077,2372,1003330
1998-06-30,2486,2605,2108,2108,1207990
1998-07-01,2165,2259,2089,2215,515920
1998-07-02,2196,2310,2020,2139,306970
1998-07-03,2045,2259,2045,2168,359940
1998-07-04,2096,2168,2077,2076,91060
1998-07-06,2140,2278,2096,2234,422170
1998-07-07,2234,2316,2203,2297,382410
1998-07-08,2322,2322,2240,2278,303570
1998-07-09,2278,2360,2234,2303,407590
1998-07-10,2335,2354,2171,2234,194490
1998-07-11,2140,2140,2045,2130,164540
1998-07-13,2045,2077,2001,2007,205190
1998-07-14,1979,2127,1979,2120,124880
1998-07-15,2108,2196,2108,2127,160450
1998-07-16,2077,2203,2077,2202,176010
1998-07-18,2215,2329,2209,2328,228660
1998-07-20,2329,2391,2240,2366,292630
1998-07-21,2366,2511,2360,2404,402690
1998-07-22,2391,2391,2272,2391,169120
1998-07-23,2423,2486,2272,2360,264600
1998-07-24,2297,2360,2272,2360,180640
1998-07-25,2360,2360,2284,2341,102770
1998-07-27,2240,2338,2240,2337,150700
1998-07-28,2360,2391,2297,2391,153470
1998-07-29,2454,2643,2391,2404,396690
1998-07-30,2423,2436,2332,2366,116400
1998-07-31,2398,2517,2329,2372,221440
1998-08-01,2391,2423,2341,2416,80690
1998-08-03,2373,2410,2259,2259,70550
1998-08-04,2140,2329,2140,2246,64420
1998-08-05,2247,2247,2014,2079,110440
1998-08-06,2077,2133,2045,2073,59510
1998-08-07,2074,2096,2033,2076,55350
1998-08-08,2045,2045,1951,1957,33710
1998-08-10,1951,1951,1768,1881,64790
1998-08-11,1932,1982,1888,1888,61110
1998-08-12,1857,1869,1794,1856,74350
1998-08-13,1888,2008,1888,1919,76960
1998-08-14,1976,1982,1863,1969,3713810
