price,rate
1,0.5
2,0.5
3,0.5
4,0.7
5,0.7
6,0.7
7,1
8,1
9,1
10,1
11,1
12,1
13,1.4
14,1.4
15,1.4
16,1.4
17,1.4
18,1.4
19,1.4
20,1.4
21,1.4
22,1.4
23,1.4
24,1.4
25,1.4
26,1.4
27,1.4
28,1.4
29,1.4
30,1.4
31,1.4
32,1.4
33,1.4
34,1.4
35,1.4
36,1.4
37,1.4
38,1.4
39,1.4
40,1.4
41,1.4
42,1.4
43,1.4
44,1.4
45,1.4
46,1.4
47,1.4
48,1.4
49,1.4
50,1.4
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2.7
