price,rate
1,0.6
2,0.6
3,0.6
4,0.8
5,0.8
6,0.8
7,1.2
8,1.2
9,1.2
10,1.2
11,1.2
12,1.2
13,1.6
14,1.6
15,1.6
16,1.6
17,1.6
18,1.6
19,1.6
20,1.6
21,1.6
22,1.6
23,1.6
24,1.6
25,1.6
26,1.6
27,1.6
28,1.6
29,1.6
30,1.6
31,1.6
32,1.6
33,1.6
34,1.6
35,1.6
36,1.6
37,1.6
38,1.6
39,1.6
40,1.6
41,1.6
42,1.6
43,1.6
44,1.6
45,1.6
46,1.6
47,1.6
48,1.6
49,1.6
50,1.6
51,2.2
52,2.2
53,2.2
54,2.2
55,2.2
56,2.2
57,2.2
58,2.2
59,2.2
60,2.2
61,2.2
62,2.2
63,2.2
64,2.2
65,2.2
66,2.2
67,2.2
68,2.2
69,2.2
70,2.2
71,2.2
72,2.2
73,2.2
74,2.2
75,2.2
76,2.2
77,2.2
78,2.2
79,2.2
80,2.2
81,2.2
82,2.2
83,2.2
84,2.2
85,2.2
86,2.2
87,2.2
88,2.2
89,2.2
90,2.2
91,2.2
92,2.2
93,2.2
94,2.2
95,3
