price,rate
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.75
8,0.75
9,0.75
10,0.75
11,0.75
12,0.75
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1.5
52,1.5
53,1.5
54,1.5
55,1.5
56,1.5
57,1.5
58,1.5
59,1.5
60,1.5
61,1.5
62,1.5
63,1.5
64,1.5
65,1.5
66,1.5
67,1.5
68,1.5
69,1.5
70,1.5
71,1.5
72,1.5
73,1.5
74,1.5
75,1.5
76,1.5
77,1.5
78,1.5
79,1.5
80,1.5
81,1.5
82,1.5
83,1.5
84,1.5
85,1.5
86,1.5
87,1.5
88,1.5
89,1.5
90,1.5
91,1.5
92,1.5
93,1.5
94,1.5
95,3
