,내부온도관측치,내부습도관측치,CO2관측치,EC관측치,총추정광량,rate_match
2021-02-18,42.20606653,62.54246666,700.7933333,1.743003589,0,0.66667
2021-02-19,42.13699975,62.76193328,682.6846667,1.740747547,0,0.6
2021-02-20,44.08699979,51.35546665,677.928,1.746106781,0,-0.125
2021-02-21,45.25166647,80.5813335,735.5866667,1.748416704,0,1.42857
2021-02-22,45.30726648,118.1441332,741.758,1.748466444,0,0.35294
2021-02-23,45.19726655,117.4347335,728.3886667,1.747078321,0,0.30435
2021-02-24,44.91733318,128.8259334,797.0966667,1.744596903,0,0.16667
2021-02-25,44.47173311,108.0418001,704.3233333,1.737307033,0,0.22857
2021-02-26,44.46553318,95.13113337,696.988,1.726813419,0,0.32558
2021-02-27,44.6435998,80.14893335,693.7233333,1.713591736,0,0.31579
2021-02-28,44.50086655,74.86933331,695.8213333,1.697132128,0,0.30667
2021-03-01,44.53666644,78.00546667,689.8013333,1.674078001,0,0.26531
2021-03-02,43.83699984,82.08499998,701.7726667,1.641886264,0,0.34677
2021-03-03,43.81713315,121.9572,748.15,1.593527676,0,0.29341
2021-03-04,44.27046648,124.1257998,759.46,1.530869127,0,0.5463
2021-03-05,44.80293318,131.0329331,760.4466667,1.44624406,0,0.34132
2021-03-06,44.85326649,121.1728001,762.7073333,1.348108185,0,0.31473
2021-03-07,44.96499988,123.1692667,762.1533333,1.251986356,0,0.17148
2021-03-08,45.01253314,131.2628666,771.396,1.164929603,227.373369,0.06667
2021-03-09,44.96373324,122.2670667,763.0533333,1.082803582,553.7180084,0.08152
2021-03-10,45.1562665,128.3515998,774.9786667,1.020032594,553.6371909,0.01131
2021-03-11,45.77359987,136.5463999,816.324,0.977507878,553.7787223,-0.00745
2021-03-12,46.00359979,133.6157333,774.144,0.96939777,553.5930613,-0.01752
2021-03-13,45.62546661,98.84706673,726.196,0.991745656,553.6529205,-0.02803
2021-03-14,45.85360002,105.4086671,741.308,1.036282875,553.7382448,-0.07995
2021-03-15,46.30319984,135.8608001,847.0826667,1.031269248,474.5212461,0.01567
2021-03-16,45.232933,140.0279334,825.0326667,0.897778823,344.7129881,-0.00281
2021-03-17,43.38253318,137.3022666,801.5333333,0.578338241,344.6530041,-0.07032
2021-03-26,52.33573316,52.76773322,973.9266667,1.59852066,0,0.38462
2021-03-27,55.75139993,87.61046668,885.962,2.931123519,0,0.11111
2021-03-28,60.1921332,100.7194668,824.41,2.93766444,0,0.3
2021-03-29,58.03553307,96.20259991,851.9033333,2.983404924,207.6812956,0.38462
