date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2014/5/28	스타벅스커피코리아(주)	100	70749	17465	3.0	2.0	4.0	3.0	3.0	1	1	서비스/고객지원	현직원		 0 	False
2014/5/28	스타벅스커피코리아(주)	100	70749	17432	4.0	4.0	2.0	5.0	5.0	1	1	서비스/고객지원	전직원		 0 	False
2014/5/26	스타벅스커피코리아(주)	100	70749	16806	3.0	2.0	4.0	3.0	3.0	0	1	영업/제휴	전직원		 0 	False
2014/5/25	스타벅스커피코리아(주)	100	70749	16538	4.0	4.0	4.0	3.0	3.0	1	1	서비스/고객지원	전직원		 0 	False
2014/5/22	스타벅스커피코리아(주)	100	70749	15963	4.0	4.0	2.0	3.0	3.0	0	1	기타	전직원		 0 	False
2014/5/21	스타벅스커피코리아(주)	100	70749	15798	4.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	현직원		 0 	False
2014/5/20	스타벅스커피코리아(주)	100	70749	15657	4.0	3.0	2.0	4.0	3.0	0	1	서비스/고객지원	현직원		 0 	False
2014/5/19	스타벅스커피코리아(주)	100	70749	15241	4.0	4.0	3.0	5.0	3.0	1	1	서비스/고객지원	현직원		 0 	False
2014/5/18	스타벅스커피코리아(주)	100	70749	15141	3.0	4.0	2.0	3.0	3.0	0	1	서비스/고객지원	전직원		 0 	False
2014/5/17	스타벅스커피코리아(주)	100	70749	14979	3.0	3.0	2.0	3.0	3.0	0	1	기타	현직원		 0 	False
2014/5/15	스타벅스커피코리아(주)	100	70749	14524	3.0	3.0	3.0	3.0	1.0	0	1	기타	현직원		 0 	False
2014/5/15	스타벅스커피코리아(주)	100	70749	14280	4.0	4.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원		 0 	False
2014/5/14	스타벅스커피코리아(주)	100	70749	14126	5.0	1.0	2.0	4.0	1.0	0	1	서비스/고객지원	현직원		 0 	False
2014/5/5	스타벅스커피코리아(주)	100	70749	11833	3.0	4.0	1.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2014/5/4	스타벅스커피코리아(주)	100	70749	11551	4.0	3.0	4.0	5.0	3.0	1	1	서비스/고객지원	전직원		 0 	False
2014/5/20	한국맥도날드(유)	100	3616	15598	5.0	5.0	2.0	5.0	3.0	1	1	영업/제휴	전직원		 0 	False
2014/5/18	한국맥도날드(유)	100	3616	15117	3.0	3.0	3.0	4.0	4.0	0	1	경영/기획/컨설팅	현직원		 0 	False
2014/5/18	한국맥도날드(유)	100	3616	15058	4.0	1.0	1.0	2.0	3.0	0	0	기타	현직원		 0 	False
2014/5/15	한국맥도날드(유)	100	3616	14687	2.0	3.0	3.0	4.0	3.0	0	1	생산/제조	전직원		 0 	False
