date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2016/3/18	(주)대웅제약	81945	287631	4.0	3.0	2.0	3.0	3.0	0	1
2016/3/3	(주)대웅제약	81945	274554	1.0	3.0	1.0	1.0	1.0	0	None
2016/3/28	한미약품(주)	2669	295914	3.0	2.0	2.0	1.0	1.0	0	2
2016/3/28	한미약품(주)	2669	295830	2.0	3.0	1.0	1.0	1.0	0	2
2016/3/27	한미약품(주)	2669	295213	2.0	2.0	2.0	3.0	1.0	0	2
2016/3/24	한미약품(주)	2669	293546	4.0	3.0	2.0	2.0	2.0	1	2
2016/3/22	한미약품(주)	2669	291270	1.0	3.0	1.0	1.0	1.0	0	2
2016/3/22	한미약품(주)	2669	290903	1.0	3.0	2.0	1.0	1.0	0	2
2016/3/21	한미약품(주)	2669	290302	3.0	3.0	3.0	3.0	3.0	1	2
2016/3/21	한미약품(주)	2669	289648	1.0	3.0	2.0	1.0	1.0	0	2
2016/3/21	한미약품(주)	2669	289434	4.0	3.0	4.0	3.0	3.0	1	1
2016/3/20	한미약품(주)	2669	288892	2.0	3.0	2.0	3.0	4.0	0	1
2016/3/20	한미약품(주)	2669	288806	4.0	4.0	4.0	4.0	3.0	1	2
2016/3/19	한미약품(주)	2669	288242	4.0	4.0	2.0	3.0	3.0	0	2
2016/3/15	한미약품(주)	2669	284414	4.0	3.0	4.0	3.0	3.0	1	2
2016/3/12	한미약품(주)	2669	282174	3.0	4.0	4.0	4.0	4.0	0	1
2016/3/10	한미약품(주)	2669	280727	3.0	4.0	1.0	2.0	1.0	0	2
2016/3/8	한미약품(주)	2669	278968	2.0	2.0	2.0	1.0	2.0	1	2
2016/3/1	한미약품(주)	2669	272847	3.0	4.0	2.0	2.0	3.0	0	1
2016/3/26	종근당(주)	55954	294902	2.0	4.0	2.0	2.0	1.0	0	None
2016/3/25	종근당(주)	55954	294432	1.0	3.0	1.0	1.0	1.0	0	1
2016/3/24	종근당(주)	55954	293358	1.0	2.0	1.0	1.0	1.0	0	1
2016/3/22	종근당(주)	55954	291289	3.0	4.0	1.0	3.0	3.0	0	2
2016/3/22	종근당(주)	55954	290958	3.0	3.0	3.0	3.0	2.0	1	2
2016/3/16	종근당(주)	55954	285559	3.0	4.0	1.0	1.0	2.0	1	2
2016/3/13	종근당(주)	55954	282797	4.0	2.0	1.0	2.0	1.0	0	2
2016/3/11	종근당(주)	55954	281853	4.0	3.0	3.0	2.0	3.0	0	1
2016/3/7	종근당(주)	55954	277555	3.0	3.0	2.0	1.0	3.0	0	2
2016/3/5	종근당(주)	55954	276161	5.0	5.0	5.0	5.0	5.0	0	1
2016/3/27	(주)녹십자	83348	295298	3.0	3.0	3.0	4.0	3.0	1	2
2016/3/24	(주)녹십자	83348	293471	4.0	2.0	2.0	2.0	3.0	0	2
2016/3/16	(주)녹십자	83348	285450	3.0	3.0	2.0	3.0	3.0	0	2
2016/3/16	(주)녹십자	83348	285143	3.0	2.0	3.0	3.0	3.0	1	2
2016/3/15	(주)녹십자	83348	284026	3.0	1.0	3.0	3.0	2.0	0	1
2016/3/13	(주)녹십자	83348	282384	4.0	3.0	4.0	3.0	3.0	1	2
2016/3/11	(주)녹십자	83348	281677	3.0	2.0	1.0	1.0	1.0	0	None
2016/3/9	(주)녹십자	83348	279564	3.0	3.0	3.0	3.0	3.0	0	2
2016/3/3	(주)녹십자	83348	275095	3.0	2.0	3.0	4.0	3.0	1	2
2016/3/1	(주)녹십자	83348	273480	3.0	3.0	4.0	4.0	4.0	1	2
2016/3/23	굿네이버스인터내셔날(사)	86785	292415	4.0	3.0	2.0	4.0	3.0	1	1
2016/3/21	굿네이버스인터내셔날(사)	86785	289936	2.0	2.0	4.0	3.0	3.0	1	1
2016/3/8	굿네이버스인터내셔날(사)	86785	278772	3.0	1.0	1.0	3.0	2.0	0	1
2016/3/8	굿네이버스인터내셔날(사)	86785	278534	4.0	3.0	2.0	3.0	3.0	1	2
2016/3/6	굿네이버스인터내셔날(사)	86785	276682	3.0	3.0	1.0	2.0	1.0	0	None
2016/3/2	굿네이버스인터내셔날(사)	86785	273642	4.0	2.0	1.0	1.0	1.0	0	1
2016/3/2	굿네이버스인터내셔날(사)	86785	273603	2.0	1.0	1.0	3.0	2.0	0	1
2016/3/29	(주)셀트리온	71498	297634	2.0	3.0	1.0	2.0	2.0	0	1
2016/3/22	(주)셀트리온	71498	291286	3.0	4.0	3.0	3.0	3.0	1	2
2016/3/22	(주)셀트리온	71498	290828	4.0	2.0	2.0	3.0	3.0	0	2
2016/3/21	(주)셀트리온	71498	289902	2.0	3.0	1.0	3.0	2.0	0	2
2016/3/18	(주)셀트리온	71498	286619	3.0	3.0	3.0	3.0	3.0	1	2
2016/3/17	(주)셀트리온	71498	285812	3.0	4.0	2.0	5.0	3.0	1	2
2016/3/10	(주)셀트리온	71498	280716	4.0	5.0	3.0	3.0	3.0	1	2
2016/3/8	(주)셀트리온	71498	279016	4.0	2.0	1.0	2.0	1.0	0	2
2016/3/2	(주)셀트리온	71498	273735	2.0	2.0	4.0	3.0	2.0	1	2
2016/3/30	제일약품(주)	11279	298377	2.0	2.0	2.0	2.0	1.0	0	1
2016/3/28	제일약품(주)	11279	296537	2.0	3.0	3.0	2.0	2.0	1	None
2016/3/27	제일약품(주)	11279	295365	3.0	3.0	3.0	2.0	2.0	1	1
2016/3/8	제일약품(주)	11279	278677	5.0	5.0	2.0	3.0	2.0	0	1
2016/3/8	제일약품(주)	11279	278606	3.0	4.0	2.0	3.0	3.0	1	2
2016/3/2	제일약품(주)	11279	273994	3.0	3.0	2.0	2.0	2.0	0	1
2016/3/1	제일약품(주)	11279	272857	2.0	3.0	3.0	2.0	2.0	1	1
2016/3/31	한국유나이티드제약(주)	3243	298902	3.0	3.0	2.0	3.0	3.0	0	2
2016/3/28	한국유나이티드제약(주)	3243	296066	3.0	3.0	4.0	2.0	3.0	0	2
2016/3/30	제이더블유중외제약(주)	11676	298087	3.0	3.0	1.0	3.0	3.0	0	None
2016/3/27	제이더블유중외제약(주)	11676	295718	5.0	5.0	5.0	5.0	5.0	1	2
