date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2017/1/26	(주)대웅제약	81945	458612	1.0	3.0	5.0	4.0	2.0	1	0
2017/1/26	(주)대웅제약	81945	458599	1.0	3.0	4.0	4.0	1.0	0	0
2017/1/10	(주)대웅제약	81945	451176	2.0	4.0	3.0	4.0	1.0	1	1
2017/1/5	(주)대웅제약	81945	449433	2.0	2.0	1.0	1.0	1.0	0	0
2017/1/3	(주)대웅제약	81945	447967	2.0	4.0	2.0	2.0	2.0	0	1
2017/1/2	(주)대웅제약	81945	447825	2.0	1.0	1.0	2.0	1.0	0	1
2017/1/25	한미약품(주)	2669	458368	4.0	3.0	1.0	3.0	3.0	0	1
2017/1/22	한미약품(주)	2669	456944	3.0	4.0	1.0	2.0	1.0	0	1
2017/1/19	한미약품(주)	2669	455460	3.0	3.0	3.0	1.0	2.0	0	1
2017/1/13	한미약품(주)	2669	453192	4.0	3.0	2.0	3.0	3.0	1	1
2017/1/11	한미약품(주)	2669	451946	2.0	4.0	2.0	2.0	2.0	0	1
2017/1/25	종근당(주)	55954	458316	4.0	5.0	3.0	4.0	4.0	1	1
2017/1/17	종근당(주)	55954	454841	3.0	4.0	2.0	3.0	3.0	1	1
2017/1/22	(주)녹십자	83348	456763	4.0	3.0	4.0	3.0	5.0	0	1
2017/1/10	(주)녹십자	83348	451237	2.0	2.0	5.0	3.0	3.0	1	1
2017/1/8	(주)녹십자	83348	450488	2.0	3.0	3.0	1.0	4.0	0	1
2017/1/27	굿네이버스인터내셔날(사)	86785	458876	4.0	3.0	1.0	2.0	3.0	0	1
2017/1/25	굿네이버스인터내셔날(사)	86785	458109	4.0	4.0	2.0	4.0	2.0	1	1
2017/1/21	굿네이버스인터내셔날(사)	86785	456590	1.0	1.0	1.0	1.0	1.0	0	0
2017/1/15	굿네이버스인터내셔날(사)	86785	453522	2.0	3.0	3.0	4.0	3.0	1	1
2017/1/14	굿네이버스인터내셔날(사)	86785	453468	2.0	3.0	4.0	3.0	3.0	1	1
2017/1/12	굿네이버스인터내셔날(사)	86785	452747	3.0	2.0	2.0	2.0	3.0	0	1
2017/1/10	굿네이버스인터내셔날(사)	86785	451595	2.0	1.0	1.0	1.0	1.0	0	0
2017/1/7	굿네이버스인터내셔날(사)	86785	450142	3.0	3.0	1.0	3.0	2.0	0	0
2017/1/5	굿네이버스인터내셔날(사)	86785	449398	4.0	4.0	2.0	4.0	4.0	1	1
2017/1/28	(주)셀트리온	71498	459075	3.0	4.0	1.0	2.0	3.0	0	1
2017/1/21	(주)셀트리온	71498	456444	3.0	4.0	2.0	4.0	3.0	1	1
2017/1/23	제일약품(주)	11279	456991	3.0	2.0	3.0	3.0	2.0	1	1
2017/1/18	제일약품(주)	11279	454985	3.0	1.0	2.0	2.0	2.0	0	1
2017/1/10	제일약품(주)	11279	451257	1.0	2.0	1.0	1.0	1.0	0	0
2017/1/26	한국유나이티드제약(주)	3243	458554	4.0	3.0	3.0	4.0	4.0	1	1
2017/1/6	한국유나이티드제약(주)	3243	449652	2.0	1.0	1.0	1.0	1.0	0	1
2017/1/5	한국유나이티드제약(주)	3243	449161	3.0	2.0	4.0	4.0	2.0	1	1
2017/1/20	제이더블유중외제약(주)	11676	456293	3.0	4.0	2.0	2.0	2.0	0	1
2017/1/8	제이더블유중외제약(주)	11676	450342	3.0	3.0	2.0	2.0	3.0	1	0
2017/1/4	제이더블유중외제약(주)	11676	448887	4.0	1.0	1.0	1.0	1.0	0	1
2017/1/31	서울대학교병원	28516	460057	4.0	4.0	4.0	4.0	4.0	1	1
2017/1/14	서울대학교병원	28516	453357	2.0	3.0	2.0	4.0	3.0	1	0
2017/1/4	서울대학교병원	28516	448726	2.0	2.0	3.0	1.0	2.0	0	1
2017/1/18	국립암센터	89425	455138	2.0	1.0	1.0	1.0	4.0	0	0
2017/1/9	국립암센터	89425	450724	4.0	2.0	3.0	4.0	3.0	1	1
2017/1/8	보령제약(주)	32152	450599	3.0	4.0	4.0	3.0	3.0	1	1
2017/1/7	보령제약(주)	32152	449996	3.0	3.0	3.0	3.0	1.0	0	1
2017/1/19	일양약품(주)	12787	455538	2.0	2.0	2.0	2.0	2.0	0	1
2017/1/17	일양약품(주)	12787	454621	3.0	3.0	3.0	3.0	3.0	0	1
2017/1/11	일동제약(주)	12961	452135	4.0	5.0	5.0	2.0	4.0	1	1
2017/1/3	일동제약(주)	12961	448274	3.0	4.0	4.0	3.0	3.0	1	1
2017/1/10	삼성바이오로직스(주)	90162	451112	4.0	4.0	2.0	2.0	2.0	0	1
2017/1/28	(주)신흥	69628	459118	2.0	2.0	1.0	1.0	1.0	0	0
2017/1/25	(주)신흥	69628	458038	1.0	1.0	1.0	1.0	1.0	0	0
2017/1/9	(주)신흥	69628	450683	1.0	3.0	1.0	1.0	1.0	1	1
2017/1/10	(주)셀트리온제약	71496	451600	4.0	3.0	2.0	4.0	3.0	1	1
2017/1/18	한국화이자제약(주)	2894	455270	4.0	5.0	2.0	3.0	3.0	1	1
2017/1/10	한국화이자제약(주)	2894	451555	1.0	1.0	4.0	2.0	2.0	0	0
2017/1/23	대원제약(주)	39412	457246	4.0	5.0	4.0	4.0	4.0	1	1
2017/1/18	대원제약(주)	39412	455025	5.0	4.0	4.0	4.0	4.0	1	1
2017/1/19	(주)한독	48469	455716	2.0	4.0	4.0	2.0	2.0	0	1
2017/1/19	(주)한독	48469	455527	4.0	3.0	2.0	4.0	3.0	1	1
2017/1/18	(주)한독	48469	455148	1.0	1.0	3.0	1.0	1.0	0	0
2017/1/10	(주)덴티움	81208	451347	3.0	3.0	1.0	1.0	1.0	0	1
2017/1/29	(주)휴온스	46956	459235	2.0	3.0	3.0	1.0	1.0	0	1
2017/1/27	(주)휴온스	46956	458986	1.0	2.0	1.0	2.0	1.0	0	1
2017/1/18	(주)휴온스	46956	455272	2.0	2.0	3.0	5.0	1.0	0	1
2017/1/11	(주)휴온스	46956	451937	5.0	3.0	4.0	1.0	5.0	1	1
2017/1/6	(주)휴온스	46956	449697	2.0	1.0	3.0	2.0	1.0	0	1
2017/1/26	에스티팜(주)	221916	458722	2.0	1.0	2.0	2.0	1.0	0	1
2017/1/19	에스티팜(주)	221916	455839	1.0	2.0	3.0	2.0	1.0	0	1
2017/1/16	에스티팜(주)	221916	454338	3.0	3.0	4.0	4.0	2.0	0	1
2017/1/9	에스티팜(주)	221916	451006	3.0	3.0	3.0	3.0	2.0	1	1
2017/1/19	(주)아이센스	68010	455621	2.0	2.0	1.0	3.0	1.0	0	1
2017/1/17	광동제약(주)	44893	454832	2.0	4.0	3.0	1.0	2.0	0	1
2017/1/12	광동제약(주)	44893	452462	4.0	4.0	2.0	2.0	3.0	1	1
2017/1/3	광동제약(주)	44893	448278	3.0	4.0	4.0	4.0	3.0	1	1
2017/1/22	씨제이헬스케어(주)	94841	456687	3.0	4.0	2.0	5.0	3.0	1	1
2017/1/19	유한양행(주)	59552	455549	3.0	3.0	1.0	1.0	1.0	0	0
2017/1/16	유한양행(주)	59552	454277	3.0	5.0	1.0	2.0	1.0	0	1
2017/1/10	동아에스티(주)	37663	451550	3.0	4.0	5.0	4.0	3.0	1	1
2017/1/12	대한적십자사	91681	452625	2.0	3.0	3.0	2.0	2.0	1	1
2017/1/8	대한적십자사	91681	450492	3.0	2.0	3.0	4.0	3.0	0	1
2017/1/11	사회복지법인월드비전	88128	451779	3.0	2.0	3.0	3.0	3.0	0	1
2017/1/27	명인제약	89946	458799	2.0	2.0	1.0	1.0	1.0	0	1
2017/1/15	명인제약	89946	453842	2.0	3.0	3.0	1.0	1.0	0	1
2017/1/5	(재)한국의학연구소	86815	449341	1.0	2.0	3.0	3.0	1.0	0	1
2017/1/5	(재)한국의학연구소	86815	449013	1.0	2.0	1.0	2.0	1.0	0	1
2017/1/3	(재)한국의학연구소	86815	448006	2.0	3.0	3.0	3.0	3.0	0	1
2017/1/7	안국약품(주)	21897	450244	2.0	2.0	1.0	2.0	2.0	0	1
2017/1/17	신풍제약(주)	24016	454762	4.0	4.0	1.0	2.0	3.0	1	1
2017/1/10	바이넥스(주)	76293	451534	3.0	3.0	4.0	4.0	3.0	1	1
