date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2017/5/28	대한무역투자진흥공사	87825	513849	3.0	3.0	1.0	3.0	3.0	0	1
2017/5/28	대한무역투자진흥공사	87825	513706	4.0	3.0	4.0	4.0	3.0	1	1
2017/5/25	대한무역투자진흥공사	87825	512834	2.0	2.0	3.0	3.0	3.0	1	1
2017/5/22	대한무역투자진흥공사	87825	511433	3.0	4.0	4.0	3.0	3.0	1	1
2017/5/21	대한무역투자진흥공사	87825	511088	4.0	3.0	2.0	3.0	3.0	1	1
2017/5/18	대한무역투자진흥공사	87825	510166	4.0	4.0	4.0	4.0	4.0	1	1
2017/5/18	대한무역투자진흥공사	87825	510085	5.0	5.0	4.0	5.0	4.0	1	1
2017/5/18	대한무역투자진흥공사	87825	510037	3.0	2.0	2.0	3.0	2.0	1	1
2017/5/18	대한무역투자진흥공사	87825	509880	4.0	3.0	4.0	4.0	4.0	1	1
2017/5/16	대한무역투자진흥공사	87825	508749	4.0	4.0	3.0	4.0	3.0	1	2
2017/5/15	대한무역투자진흥공사	87825	508421	4.0	4.0	4.0	4.0	4.0	1	2
2017/5/13	대한무역투자진흥공사	87825	507899	3.0	4.0	4.0	2.0	2.0	0	None
2017/5/12	대한무역투자진흥공사	87825	507331	4.0	4.0	4.0	5.0	5.0	1	2
2017/5/8	대한무역투자진흥공사	87825	505805	2.0	3.0	3.0	3.0	3.0	1	1
2017/5/3	대한무역투자진흥공사	87825	504557	3.0	3.0	3.0	3.0	3.0	1	1
2017/5/27	삼일회계법인	86770	513656	4.0	2.0	2.0	4.0	3.0	1	1
2017/5/16	삼일회계법인	86770	509131	3.0	4.0	1.0	4.0	3.0	1	1
2017/5/13	삼일회계법인	86770	507688	3.0	2.0	2.0	3.0	3.0	1	1
2017/5/10	삼일회계법인	86770	506291	3.0	3.0	1.0	3.0	2.0	0	1
2017/5/1	삼일회계법인	86770	503999	2.0	1.0	1.0	3.0	1.0	0	None
2017/5/29	안진회계법인	89197	514241	3.0	2.0	1.0	1.0	1.0	0	1
2017/5/28	안진회계법인	89197	513882	1.0	3.0	2.0	3.0	1.0	0	1
2017/5/28	안진회계법인	89197	513836	3.0	4.0	1.0	3.0	2.0	1	1
2017/5/17	안진회계법인	89197	509331	4.0	5.0	4.0	4.0	5.0	1	2
2017/5/15	안진회계법인	89197	508466	3.0	3.0	2.0	4.0	3.0	1	1
2017/5/13	안진회계법인	89197	507741	4.0	3.0	3.0	4.0	2.0	1	1
2017/5/13	안진회계법인	89197	507657	3.0	3.0	2.0	4.0	3.0	1	None
2017/5/10	안진회계법인	89197	506587	3.0	2.0	1.0	4.0	3.0	0	2
2017/5/29	삼정회계법인	91077	514202	4.0	2.0	1.0	4.0	4.0	1	1
2017/5/25	삼정회계법인	91077	512858	3.0	3.0	2.0	3.0	2.0	0	1
2017/5/11	삼정회계법인	91077	506735	5.0	3.0	1.0	4.0	1.0	1	1
2017/5/3	삼정회계법인	91077	504573	3.0	3.0	5.0	5.0	2.0	0	1
2017/5/3	삼정회계법인	91077	504543	3.0	4.0	4.0	3.0	2.0	1	1
2017/5/21	한영회계법인	89243	511108	3.0	3.0	3.0	3.0	3.0	1	1
2017/5/19	한영회계법인	89243	510239	4.0	3.0	1.0	4.0	3.0	0	1
2017/5/18	한영회계법인	89243	510203	3.0	4.0	3.0	1.0	1.0	0	1
2017/5/16	한영회계법인	89243	509049	4.0	2.0	3.0	5.0	3.0	1	2
2017/5/15	한영회계법인	89243	508373	3.0	3.0	4.0	4.0	3.0	1	1
2017/5/1	한영회계법인	89243	503887	1.0	1.0	1.0	1.0	1.0	0	None
2017/5/28	한국과학기술연구원	86772	513878	3.0	4.0	3.0	4.0	3.0	0	2
2017/5/27	한국과학기술연구원	86772	513631	1.0	3.0	4.0	4.0	2.0	1	1
2017/5/25	한국과학기술연구원	86772	512741	2.0	2.0	3.0	3.0	2.0	0	1
2017/5/22	한국과학기술연구원	86772	511222	3.0	3.0	4.0	4.0	3.0	1	2
2017/5/10	한국과학기술연구원	86772	506420	3.0	4.0	4.0	3.0	2.0	1	1
2017/5/17	(주)한국능률협회컨설팅	48855	509424	4.0	4.0	4.0	4.0	4.0	1	2
2017/5/17	한국국제협력단	88967	509251	2.0	3.0	3.0	4.0	2.0	1	1
2017/5/16	닐슨코리아	41244	508907	2.0	2.0	2.0	3.0	4.0	0	1
2017/5/1	닐슨코리아	41244	504058	3.0	2.0	1.0	1.0	1.0	0	None
2017/5/28	한국생산성본부	3486	513893	3.0	3.0	4.0	4.0	3.0	1	1
2017/5/19	한국생산성본부	3486	510589	4.0	5.0	5.0	3.0	4.0	1	1
2017/5/17	한국생산성본부	3486	509668	2.0	3.0	4.0	3.0	1.0	0	None
2017/5/10	한국생산성본부	3486	506485	4.0	3.0	4.0	3.0	2.0	1	1
2017/5/24	(주)윕스	60409	512370	3.0	1.0	2.0	3.0	2.0	0	1
2017/5/16	(주)윕스	60409	508854	3.0	3.0	3.0	3.0	3.0	1	2
2017/5/14	전자부품연구원	88699	508030	4.0	3.0	5.0	4.0	4.0	1	1
2017/5/21	한국리서치(주)	87486	511036	3.0	4.0	2.0	4.0	3.0	0	1
2017/5/13	한국리서치(주)	87486	507763	3.0	2.0	1.0	2.0	2.0	0	None
2017/5/11	한국리서치(주)	87486	506711	1.0	1.0	1.0	1.0	1.0	0	None
2017/5/4	입소스(주)	57401	504631	4.0	3.0	1.0	3.0	3.0	1	1
2017/5/30	도로교통공단	87848	514763	2.0	1.0	3.0	1.0	2.0	0	1
2017/5/24	도로교통공단	87848	512481	1.0	2.0	5.0	1.0	3.0	0	None
2017/5/19	도로교통공단	87848	510446	1.0	1.0	2.0	1.0	1.0	0	1
2017/5/19	도로교통공단	87848	510445	2.0	1.0	5.0	2.0	2.0	0	1
2017/5/19	도로교통공단	87848	510440	3.0	3.0	4.0	4.0	3.0	1	1
2017/5/18	도로교통공단	87848	509801	3.0	2.0	4.0	2.0	2.0	0	1
2017/5/16	도로교통공단	87848	508888	3.0	4.0	3.0	4.0	3.0	1	1
2017/5/13	도로교통공단	87848	507655	3.0	4.0	5.0	4.0	4.0	1	2
2017/5/9	도로교통공단	87848	505989	4.0	3.0	5.0	5.0	4.0	1	2
2017/5/6	도로교통공단	87848	505176	4.0	3.0	4.0	5.0	4.0	1	2
2017/5/24	(주)칸타코리아 테일러넬슨소프레스코리아	51497	512090	3.0	2.0	1.0	4.0	2.0	0	1
2017/5/1	삼정케이피엠지(주)	29630	503828	4.0	2.0	1.0	3.0	3.0	0	1
2017/5/27	건강보험심사평가원	45995	513485	5.0	5.0	5.0	5.0	5.0	1	2
2017/5/15	건강보험심사평가원	45995	508249	5.0	4.0	5.0	5.0	4.0	1	2
2017/5/28	한국화학연구원	89031	513806	3.0	4.0	3.0	4.0	3.0	1	1
2017/5/17	한국화학연구원	89031	509515	1.0	2.0	5.0	5.0	1.0	1	1
2017/5/25	한국환경공단	89033	512793	3.0	2.0	4.0	4.0	3.0	1	1
