date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2019/3/31	스타벅스커피코리아(주)	70749	1050694	4.0	3.0	2.0	3.0	3.0	0	1
2019/3/31	스타벅스커피코리아(주)	70749	1050432	3.0	3.0	2.0	3.0	3.0	1	1
2019/3/30	스타벅스커피코리아(주)	70749	1049458	4.0	4.0	1.0	1.0	2.0	0	2
2019/3/30	스타벅스커피코리아(주)	70749	1048957	3.0	1.0	2.0	2.0	2.0	0	None
2019/3/29	스타벅스커피코리아(주)	70749	1048795	3.0	5.0	5.0	4.0	4.0	1	2
2019/3/29	스타벅스커피코리아(주)	70749	1048757	3.0	4.0	3.0	2.0	3.0	0	1
2019/3/29	스타벅스커피코리아(주)	70749	1047241	3.0	4.0	2.0	3.0	2.0	0	1
2019/3/28	스타벅스커피코리아(주)	70749	1046010	4.0	4.0	4.0	4.0	4.0	1	2
2019/3/28	스타벅스커피코리아(주)	70749	1045986	3.0	2.0	2.0	2.0	2.0	0	1
2019/3/28	스타벅스커피코리아(주)	70749	1045705	4.0	3.0	3.0	4.0	3.0	1	2
2019/3/28	스타벅스커피코리아(주)	70749	1045559	3.0	1.0	1.0	4.0	3.0	0	1
2019/3/28	스타벅스커피코리아(주)	70749	1045336	5.0	5.0	5.0	5.0	5.0	1	1
2019/3/27	스타벅스커피코리아(주)	70749	1044983	2.0	2.0	4.0	3.0	2.0	0	None
2019/3/27	스타벅스커피코리아(주)	70749	1044595	3.0	3.0	2.0	4.0	4.0	1	1
2019/3/27	스타벅스커피코리아(주)	70749	1044275	4.0	4.0	3.0	3.0	3.0	1	1
2019/3/26	스타벅스커피코리아(주)	70749	1041213	3.0	1.0	1.0	2.0	2.0	0	1
2019/3/26	스타벅스커피코리아(주)	70749	1040846	4.0	2.0	4.0	1.0	1.0	0	None
2019/3/25	스타벅스커피코리아(주)	70749	1038851	4.0	4.0	4.0	4.0	4.0	0	2
2019/3/25	스타벅스커피코리아(주)	70749	1038502	5.0	3.0	4.0	3.0	3.0	0	2
2019/3/24	스타벅스커피코리아(주)	70749	1037787	3.0	4.0	2.0	3.0	3.0	0	1
2019/3/23	스타벅스커피코리아(주)	70749	1037305	2.0	3.0	2.0	3.0	1.0	0	1
2019/3/23	스타벅스커피코리아(주)	70749	1037094	4.0	4.0	3.0	3.0	3.0	1	1
2019/3/23	스타벅스커피코리아(주)	70749	1037043	3.0	5.0	5.0	4.0	3.0	1	2
2019/3/23	스타벅스커피코리아(주)	70749	1036968	2.0	1.0	4.0	5.0	2.0	0	1
2019/3/23	스타벅스커피코리아(주)	70749	1036384	4.0	4.0	4.0	3.0	3.0	1	1
2019/3/22	스타벅스커피코리아(주)	70749	1035733	4.0	5.0	4.0	3.0	3.0	0	2
2019/3/22	스타벅스커피코리아(주)	70749	1035025	3.0	3.0	3.0	3.0	3.0	0	1
2019/3/22	스타벅스커피코리아(주)	70749	1034516	2.0	3.0	1.0	3.0	2.0	0	1
2019/3/20	스타벅스커피코리아(주)	70749	1031585	4.0	4.0	4.0	4.0	4.0	1	2
2019/3/20	스타벅스커피코리아(주)	70749	1031544	3.0	4.0	2.0	3.0	4.0	0	1
2019/3/20	스타벅스커피코리아(주)	70749	1031356	3.0	4.0	4.0	2.0	3.0	1	2
2019/3/20	스타벅스커피코리아(주)	70749	1031165	4.0	4.0	3.0	5.0	5.0	1	1
2019/3/19	스타벅스커피코리아(주)	70749	1029995	4.0	5.0	4.0	4.0	3.0	1	1
2019/3/19	스타벅스커피코리아(주)	70749	1029426	2.0	2.0	2.0	2.0	2.0	1	1
2019/3/19	스타벅스커피코리아(주)	70749	1029419	3.0	3.0	4.0	4.0	3.0	0	1
2019/3/19	스타벅스커피코리아(주)	70749	1029408	4.0	5.0	3.0	3.0	3.0	1	2
2019/3/19	스타벅스커피코리아(주)	70749	1028564	3.0	5.0	5.0	5.0	3.0	0	1
2019/3/18	스타벅스커피코리아(주)	70749	1028112	3.0	3.0	3.0	3.0	3.0	0	1
2019/3/17	스타벅스커피코리아(주)	70749	1026114	2.0	1.0	1.0	2.0	1.0	0	None
2019/3/16	스타벅스커피코리아(주)	70749	1026081	4.0	4.0	3.0	4.0	3.0	1	1
2019/3/16	스타벅스커피코리아(주)	70749	1026051	4.0	4.0	4.0	4.0	4.0	0	1
2019/3/15	스타벅스커피코리아(주)	70749	1025298	3.0	3.0	3.0	3.0	3.0	1	1
2019/3/14	스타벅스커피코리아(주)	70749	1023598	2.0	5.0	5.0	3.0	3.0	1	2
2019/3/14	스타벅스커피코리아(주)	70749	1023044	3.0	4.0	3.0	3.0	4.0	0	1
2019/3/13	스타벅스커피코리아(주)	70749	1021771	5.0	3.0	5.0	3.0	3.0	1	1
2019/3/11	스타벅스커피코리아(주)	70749	1018846	4.0	4.0	3.0	4.0	3.0	0	1
2019/3/10	스타벅스커피코리아(주)	70749	1017517	4.0	3.0	2.0	3.0	2.0	0	1
2019/3/10	스타벅스커피코리아(주)	70749	1017236	1.0	1.0	1.0	3.0	3.0	1	2
2019/3/9	스타벅스커피코리아(주)	70749	1016724	2.0	3.0	3.0	1.0	1.0	0	None
